Device_ID,Device_Type,BS_position,No_of_sensors,Threshold_distance,Energy_consumed_by_amplifier_long_distance,Initial_energy,Cluster_radius,Energy_consumed_by_electronics_circuit,Energy_consumed_by_amplifier_short_distance,Simulation_time,Secondary_model_parameter_value,Bandwidth,Data_packet_size,Message_size,ICMP_IPV4_TYPE,ICMP_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,ATTACK,LABEL,DATASET
Device_1008,Sensor,12.9,219,194.05,0.0076462429736654765,1.688,20.79,0.002729423639884872,9.01595448050626e-05,2417,6.169,719,761,1787,8,0,28484,2,266,200,Brute_Force,1,NF-ToN-IoT-v2
Device_1009,Camera,540.3,385,25.93,0.005868966022110767,0.799,20.95,0.0002837434362891471,0.0002620089478182617,5447,4.297,151,771,3932,11,0,56394,1,64277,150,DDoS,1,NF-BoT-IoT-v2
Device_1010,Actuator,851.15,429,75.94,0.0015771903648353692,0.565,24.36,0.003251743714809889,7.056631669706453e-05,2275,2.557,37,835,1099,0,0,17893,28,41198,226,DoS,1,NF-BoT-IoT-v2
Device_1011,Sensor,957.63,163,89.62,0.008392606187960436,4.465,80.68,0.0026350012180790697,0.0005346133176944924,2472,2.458,889,450,419,8,8,40703,15,79196,150,DDoS,1,NF-BoT-IoT-v2
Device_1012,Gateway,565.74,19,13.22,0.008842831442035765,2.091,30.84,0.0011798108873579682,0.0004953476026339291,6902,9.277,776,1479,3006,0,8,35031,28,56372,331,Normal,0,NF-ToN-IoT-v2
Device_1013,Router,514.46,424,79.34,0.00471479736478236,4.975,80.61,0.0038456847471956376,1.6262892020588682e-05,5325,2.424,474,950,3272,0,8,39654,2,77863,226,DoS,1,NF-CSE-CIC-IDS2018-v2
Device_1014,Sensor,85.06,362,62.0,0.0021681835770269767,2.491,56.35,0.004674484430919102,0.00048769123168748994,9752,9.628,444,232,537,8,8,2284,1,15133,331,Normal,0,NF-BoT-IoT-v2
Device_1015,Gateway,548.87,166,106.15,0.009481304304508562,1.344,77.88,0.0016811489238331785,0.000524607095788381,6328,2.181,342,1473,3733,0,0,43103,2,52430,226,DoS,1,NF-ToN-IoT-v2
Device_1016,Sensor,379.98,270,73.92,0.008834468688743805,3.997,57.6,0.002520186845800208,0.0006096467036014829,5221,3.904,5,1497,2164,8,8,15542,5,16299,530,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1017,Router,607.14,86,147.97,0.0025193792887842014,4.669,36.9,0.0007280574936223025,0.0009703987271624394,8150,0.222,890,1557,3708,0,8,19343,1,51995,200,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1018,Router,388.73,266,106.89,0.0010463779893967043,4.17,91.52,0.004656018646153599,0.0009828655027814804,7832,9.041,226,1137,4062,3,0,59000,15,65405,150,Botnet,1,NF-ToN-IoT-v2
Device_1019,Actuator,240.3,480,34.65,0.004462470714736158,3.853,72.95,0.0016621006921342415,0.000531660017564114,9756,1.133,539,1695,2100,0,8,36034,15,35135,530,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1020,Camera,94.97,497,152.51,0.006796330166288023,2.006,50.99,0.0010544449501276765,0.0008467348306336847,5244,3.638,124,111,2224,8,8,25849,5,75588,331,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1021,Sensor,314.92,140,28.85,0.0018363469936774463,0.79,65.56,0.0024443005161703312,9.431411229040613e-05,9350,8.441,403,220,1903,3,0,63086,2,83901,200,Normal,0,NF-BoT-IoT-v2
Device_1022,Sensor,96.64,76,169.42,0.005180805318474306,1.406,63.51,0.00031208419855578565,0.0005358430762057747,6912,7.94,939,1535,1707,3,8,52670,15,75885,200,Normal,0,NF-ToN-IoT-v2
Device_1023,Gateway,176.9,464,186.97,0.004311613393297916,2.511,39.02,0.001338900473009384,0.0006821110586317221,9263,8.431,811,1211,1565,11,8,6215,2,40686,425,DoS,1,NF-BoT-IoT-v2
Device_1024,Router,987.34,237,71.26,0.00891645637281771,4.803,45.26,0.00043152290880791303,0.0005690815313738528,7924,9.15,35,859,3470,11,0,18399,1,27777,331,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1025,Sensor,444.1,172,185.97,0.004352709664790574,3.753,35.23,0.0007241186570215789,0.00023841378450964318,5555,9.12,237,1215,878,11,8,41877,28,39360,226,Brute_Force,1,NF-BoT-IoT-v2
Device_1026,Router,531.87,24,160.67,0.005384386297976873,4.227,99.95,0.0006495719992427537,7.203140644156484e-05,2604,7.728,468,785,3552,3,8,9143,1,48950,331,Botnet,1,NF-CSE-CIC-IDS2018-v2
Device_1027,Sensor,873.62,241,185.26,0.00955733334041804,1.748,60.11,0.004374857779587991,0.0003928025917294377,9190,5.866,499,857,1154,11,0,63539,2,60130,150,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1028,Actuator,995.57,204,136.59,0.0030669484821581896,3.577,13.75,0.0046591307553696774,0.0006511660728088912,1602,5.659,512,1649,2431,3,0,24047,5,58787,530,Normal,0,NF-ToN-IoT-v2
Device_1029,Camera,582.71,358,54.77,0.0029610102262252196,4.381,54.32,0.0024251586123227153,0.0009917959429190063,7142,0.228,823,1099,2745,11,8,27600,1,41236,220,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1030,Sensor,812.47,39,179.96,0.008015991291426224,2.657,9.75,0.0031890437304813914,0.00024416811687010676,8634,7.253,317,1217,3389,0,0,8346,15,62234,226,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1031,Router,326.94,368,45.01,0.00284763596282529,2.435,32.42,0.003509919296588692,0.00091861201061427,3960,2.344,303,1788,464,11,0,61759,1,47065,200,Normal,0,NF-ToN-IoT-v2
Device_1032,Actuator,305.74,347,50.48,0.00833547211372473,3.737,47.37,0.002017435291873095,7.757878553001135e-05,7958,8.304,102,1716,1387,8,8,57644,1,84483,425,Brute_Force,1,NF-ToN-IoT-v2
Device_1033,Sensor,402.7,340,61.5,0.001045802532680285,3.02,55.76,0.0019140312885101505,0.0009316793811847384,7619,5.583,589,1691,68,11,8,57538,1,56867,331,DoS,1,NF-BoT-IoT-v2
Device_1034,Gateway,672.51,436,67.81,0.0012014863483637373,4.969,97.74,0.003410288194195981,0.0008340431001913296,2960,9.874,312,541,3997,3,8,31769,5,13360,425,Brute_Force,1,NF-CSE-CIC-IDS2018-v2
Device_1035,Camera,682.19,325,107.75,0.00902310140421144,2.413,98.31,0.0019459011247016686,3.073589920452946e-05,1348,2.182,82,1568,3581,8,8,48354,2,28168,425,Data_Exfiltration,1,NF-BoT-IoT-v2
Device_1036,Sensor,315.24,495,145.56,0.00545404159657611,1.292,14.32,0.0029469466457958675,0.00030520352034777803,7183,7.262,658,726,1322,8,0,7564,5,41776,220,DoS,1,NF-CSE-CIC-IDS2018-v2
Device_1037,Actuator,133.21,305,185.98,0.007216261240272965,2.624,56.12,0.002624444772976143,6.044708714174819e-05,9500,5.521,193,1263,2098,3,0,39120,15,80780,425,Botnet,1,NF-CSE-CIC-IDS2018-v2
Device_1038,Gateway,632.4,458,26.8,0.0023303600294391886,1.558,82.63,0.002669856944414809,0.000995550812814264,5110,9.325,224,2000,2558,8,8,50589,2,371,331,DDoS,1,NF-CSE-CIC-IDS2018-v2
Device_1039,Actuator,128.33,422,191.33,0.0017461162469828723,3.026,27.58,0.00416385842809461,0.0004335655645379385,6405,2.733,53,1152,1934,8,0,25308,15,53984,220,Normal,0,NF-BoT-IoT-v2
Device_1040,Actuator,578.49,339,185.05,0.008366047196103137,1.066,76.3,0.003549879833603613,0.0006655517844145311,5862,0.688,345,52,2109,8,8,13133,2,63234,226,Normal,0,NF-ToN-IoT-v2
Device_1041,Gateway,693.42,229,20.26,0.003650371729530163,4.775,88.47,0.004807345004786656,0.00024184866907416293,4490,5.484,85,1410,2150,11,8,64285,2,17460,331,DDoS,1,NF-BoT-IoT-v2
Device_1042,Actuator,700.61,386,78.46,0.004604822929307746,4.369,67.94,0.00397578547353274,0.0009343988762808762,2239,5.264,987,2006,263,8,0,3044,1,66586,331,Port_Scan,1,NF-CSE-CIC-IDS2018-v2
Device_1043,Gateway,753.47,488,164.5,0.00037692178302605394,1.2,36.13,0.0008143833215394891,0.000281432347654077,9902,3.186,907,1560,1769,0,8,30972,1,30563,220,Brute_Force,1,NF-CSE-CIC-IDS2018-v2
Device_1044,Sensor,872.86,156,126.2,0.0039202192685103675,1.276,92.7,0.0037185681846992292,0.00026761246122927556,7435,9.867,880,1978,4005,0,8,34219,5,49050,150,DDoS,1,NF-BoT-IoT-v2
Device_1045,Gateway,499.96,268,158.03,0.007727334300437288,2.806,88.93,0.003361673014438963,0.00032145409498193935,8848,0.79,641,1459,3995,11,0,7087,2,67808,425,Normal,0,NF-BoT-IoT-v2
Device_1046,Gateway,730.25,301,146.62,0.008230624255133077,3.978,73.0,0.0032656154996056072,0.0004678642730041994,6218,5.738,211,1278,2132,11,8,53861,15,8932,200,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1047,Camera,619.17,308,104.39,0.007017672409937165,1.486,39.55,0.0024556486683408175,2.834739896741392e-05,4094,2.676,864,431,3822,0,8,34056,1,27666,220,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1048,Gateway,186.64,152,17.83,0.006952579362083049,0.774,80.23,0.00040607320709833345,0.0006018591251268036,1252,0.119,776,1517,3209,8,0,19631,15,68123,425,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1049,Gateway,25.69,490,121.01,0.0051117687393118635,2.955,35.03,0.0047622753607993425,4.1349139169330757e-05,3844,9.88,915,591,2907,0,8,17759,1,5577,331,Normal,0,NF-ToN-IoT-v2
Device_1050,Sensor,284.54,434,19.23,0.005429460359672248,3.612,29.03,0.0042744310041496186,0.0005438104628621972,3721,4.868,183,1087,2260,3,8,37047,2,57187,220,DDoS,1,NF-CSE-CIC-IDS2018-v2
Device_1051,Camera,443.03,244,124.71,0.0074520542934501215,1.6,53.93,0.0024853593833181037,0.00046330605316029087,5990,8.586,272,520,688,8,8,23875,15,46959,220,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1052,Router,617.11,124,162.08,0.002548287808394456,3.829,99.73,0.0008770467413909612,0.00025012158755504613,9264,8.417,506,319,3419,0,8,20357,5,30180,331,DDoS,1,NF-CSE-CIC-IDS2018-v2
Device_1053,Sensor,849.96,374,121.15,0.0023920189756359545,4.778,81.41,0.004139916023493217,0.00033647033699911845,4007,8.142,227,1492,2197,0,8,4594,5,29733,331,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1054,Sensor,196.25,99,199.43,0.00950425575674914,1.117,74.33,0.0022102908665050103,0.0007086032131322231,3828,4.644,834,1435,1189,8,8,27840,5,14223,150,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1055,Router,125.55,217,96.61,0.00037412987891187623,2.8,47.94,0.002011558225181161,1.950154467268238e-05,7847,8.97,12,468,2642,8,0,47960,1,55541,530,DoS,1,NF-ToN-IoT-v2
Device_1056,Gateway,963.48,173,152.28,0.0014807080902852973,0.756,34.64,0.003360372936470237,0.00032348066664550216,3166,3.736,93,161,2174,8,8,999,1,78137,530,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1057,Actuator,108.04,490,136.77,0.005746291019392356,1.43,86.31,0.0038175094528099924,0.0006834942816232187,9583,4.143,330,472,1715,11,8,31205,5,75274,150,Data_Exfiltration,1,NF-BoT-IoT-v2
Device_1058,Camera,478.49,93,198.37,0.007404564903113651,0.904,58.93,0.0004079196094402446,0.00016075112674852456,2960,2.631,190,1548,755,3,8,6338,15,78292,530,DDoS,1,NF-BoT-IoT-v2
Device_1059,Actuator,585.56,86,145.51,0.005425121721551617,2.318,82.26,0.003861026440769213,0.0005647817976442423,263,4.536,598,821,2661,11,0,18426,1,6496,150,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1060,Router,541.37,170,41.17,0.0036151335620323534,4.194,51.34,0.0036963084566229774,0.00017724359919788556,1814,9.866,866,1028,877,0,0,33812,5,22468,425,DDoS,1,NF-BoT-IoT-v2
Device_1061,Sensor,86.03,14,191.55,0.00978196358159438,3.097,76.63,0.0029871270915580134,0.0001632142580884296,3562,5.775,954,1300,2519,3,8,27981,1,61071,530,Normal,0,NF-ToN-IoT-v2
Device_1062,Sensor,57.03,494,136.88,0.007068141582815175,1.502,87.44,0.001758252680354858,0.0007745572947665193,1540,8.328,789,1107,1691,11,8,4893,28,62226,530,DoS,1,NF-BoT-IoT-v2
Device_1063,Camera,105.48,87,21.27,0.008330769326564083,0.68,42.18,0.0009075305215535566,0.00027386009976812633,5413,2.707,293,752,3308,0,8,22072,15,6888,530,Normal,0,NF-ToN-IoT-v2
Device_1064,Sensor,585.59,100,134.94,0.0004984440544632202,2.99,6.29,0.0006029995490009299,0.00038201142776300213,9092,9.564,261,895,3852,8,0,9270,2,39354,331,Port_Scan,1,NF-ToN-IoT-v2
Device_1065,Sensor,544.34,96,177.79,0.0024356090936864983,1.098,29.22,0.00010580009922098306,0.0007327178849687202,6327,0.23,710,261,584,0,0,13313,15,59638,530,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1066,Camera,233.74,279,119.64,0.003804293826556643,2.042,91.92,0.0011116548608912549,0.00018772440453754656,2760,9.309,928,496,3656,8,0,53551,2,23726,226,Port_Scan,1,NF-BoT-IoT-v2
Device_1067,Camera,637.77,113,77.26,0.0019077538410145528,2.796,70.32,0.002115551153244867,0.0005364196511195291,1790,8.99,323,217,2644,11,0,26133,5,60354,150,Normal,0,NF-BoT-IoT-v2
Device_1068,Router,820.07,461,165.97,0.0008217027998205574,4.567,75.04,0.0012938572238604133,0.0009186414671270164,333,0.767,10,193,2135,0,8,5260,1,48803,530,DDoS,1,NF-CSE-CIC-IDS2018-v2
Device_1069,Sensor,41.58,496,158.68,0.002328407479487334,0.868,35.9,0.0016139973626645484,0.0005582885511847038,1976,6.088,965,1254,2206,3,8,34904,5,56523,530,DDoS,1,NF-CSE-CIC-IDS2018-v2
Device_1070,Sensor,498.13,348,113.39,0.0053829927492467225,3.509,71.62,0.002013216835268852,5.835730895719514e-05,9253,7.874,88,2044,3839,0,8,2927,2,85291,530,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1071,Router,689.31,184,39.33,0.006987877958731383,0.563,66.4,0.0016104853114806124,0.0005938003019303396,3470,4.098,340,432,3996,8,0,1834,28,37570,530,Brute_Force,1,NF-CSE-CIC-IDS2018-v2
Device_1072,Gateway,252.31,63,57.69,0.0077628071373543025,3.335,21.95,0.00365064308942778,9.925186551925384e-05,6439,1.009,318,1527,359,11,0,40522,2,18056,200,Normal,0,NF-BoT-IoT-v2
Device_1073,Gateway,307.77,397,150.31,0.000525067933190399,2.982,97.03,0.0025094612669083523,0.00028930329502895025,5209,8.311,549,1511,3081,3,0,29679,1,30569,425,Port_Scan,1,NF-ToN-IoT-v2
Device_1074,Gateway,613.64,487,163.16,0.004337063104904653,4.153,38.63,0.00019470302398499943,0.0008511783542900763,1145,4.718,223,822,3315,3,8,14921,28,17266,425,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1075,Router,897.94,220,63.06,0.0013098946774951366,2.892,36.28,0.0012106743336752867,2.095843678793175e-05,6191,2.706,687,1046,4035,11,0,20784,1,3130,226,Normal,0,NF-ToN-IoT-v2
Device_1076,Sensor,809.92,104,79.92,0.004368883825802252,2.087,40.07,0.0035773253987092003,8.624317557797542e-05,4581,0.801,209,576,1218,11,8,52971,28,21753,150,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1077,Router,583.13,232,24.75,0.004396360906290922,1.592,13.71,0.0015745595641052505,0.00036973048739356726,4559,6.438,49,444,4044,0,0,13476,1,42734,200,DDoS,1,NF-ToN-IoT-v2
Device_1078,Router,730.22,18,145.56,0.0050322956984512135,0.884,64.37,0.00460869468132534,0.000999401921100356,8133,0.519,536,562,596,0,0,7384,2,64018,331,DDoS,1,NF-CSE-CIC-IDS2018-v2
Device_1079,Gateway,364.82,62,10.68,0.00893902320000607,2.906,27.67,0.0035920538324923606,0.0002989452670111248,6517,7.932,850,1176,1095,3,8,46443,2,7246,200,Normal,0,NF-BoT-IoT-v2
Device_1080,Actuator,640.97,86,18.84,0.008070445475978487,4.497,81.31,0.0015206421818102426,0.0001657018725486709,1507,7.73,922,100,951,0,0,16162,2,18454,150,Normal,0,NF-BoT-IoT-v2
Device_1081,Sensor,466.18,215,10.83,0.00640353636685028,2.816,42.44,0.002630408246249876,0.0005539279115197664,307,3.297,618,324,3336,8,8,31250,2,5151,220,DDoS,1,NF-CSE-CIC-IDS2018-v2
Device_1082,Gateway,189.94,325,132.61,0.008865532497041955,3.826,48.56,0.003369471247882831,0.0005240624713546994,4470,4.776,823,1782,2989,8,0,4379,28,99,220,Normal,0,NF-ToN-IoT-v2
Device_1083,Actuator,701.74,311,89.3,0.006816839303395772,1.843,66.41,0.001047492740151767,0.0004551233925445492,7250,6.725,263,666,2496,0,0,43003,15,70366,200,DDoS,1,NF-CSE-CIC-IDS2018-v2
Device_1084,Actuator,556.46,319,66.53,0.008206664111554445,2.517,77.38,0.0013063185926456252,0.0009471872145225193,8787,9.595,206,1465,3661,3,8,56681,15,52316,331,Normal,0,NF-BoT-IoT-v2
Device_1085,Camera,358.62,339,183.41,0.005681405179742854,1.961,26.96,0.0025849063547250567,0.0002873478772410136,1001,5.249,681,1335,3979,0,0,56687,5,24434,226,Normal,0,NF-ToN-IoT-v2
Device_1086,Sensor,911.34,121,46.63,0.005299660691145917,0.992,96.8,0.004631984140202432,0.00030039098696934657,7183,9.967,497,597,2659,11,0,57784,15,82866,220,Port_Scan,1,NF-CSE-CIC-IDS2018-v2
Device_1087,Actuator,20.93,360,83.98,0.00726856270344661,2.376,64.12,0.0017856507976023144,0.0001488544016732133,1849,3.319,898,564,1493,11,8,3954,5,31241,530,Brute_Force,1,NF-BoT-IoT-v2
Device_1088,Gateway,315.77,174,188.66,0.0002949241885599357,3.939,5.54,0.0020704386076934615,0.0007003151377370136,8751,5.312,670,1664,2484,3,0,58812,2,43534,425,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1089,Camera,56.88,288,91.15,0.006934737959151093,2.277,44.48,0.0010340390323394166,0.0003281557763697329,4589,1.245,753,1913,3299,3,8,1962,1,1080,226,DDoS,1,NF-BoT-IoT-v2
Device_1090,Sensor,766.53,36,115.39,0.009351730362203211,3.426,46.5,0.003006722606838236,0.000804712890115196,9208,5.609,465,681,2668,11,8,19832,15,17628,331,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1091,Router,702.11,79,25.26,0.007168026590284866,3.914,81.87,0.003726738661529892,0.000972040298599191,6682,5.41,635,585,2767,11,8,36335,15,1844,220,Brute_Force,1,NF-ToN-IoT-v2
Device_1092,Gateway,331.35,227,160.13,0.0004642578705424632,1.952,33.99,0.00225914710491714,5.324838957068606e-05,8130,8.503,20,1980,2110,8,0,47291,2,21377,331,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1093,Actuator,675.66,459,90.32,0.003841067843649967,4.089,36.47,0.00377622196033311,0.0009931906711575435,4834,9.966,568,984,586,0,8,56969,2,66647,150,Port_Scan,1,NF-BoT-IoT-v2
Device_1094,Actuator,395.94,374,162.1,0.008114854892485732,2.025,11.7,0.0015827631445029912,0.0002615631840935136,4765,9.863,970,789,898,3,0,19278,15,6702,226,Normal,0,NF-BoT-IoT-v2
Device_1095,Gateway,756.25,198,58.22,0.009590224645439759,1.652,31.94,0.0035642236483396567,0.00042590925368198224,2294,2.439,792,1474,1441,11,8,12127,2,74682,150,Brute_Force,1,NF-CSE-CIC-IDS2018-v2
Device_1096,Actuator,454.18,342,90.27,0.003764617220800135,1.501,73.11,0.0013658882125352253,0.0007799659209477653,7226,3.451,108,59,3544,3,8,35778,15,39693,331,Normal,0,NF-ToN-IoT-v2
Device_1097,Camera,412.28,444,159.44,0.00842782115318139,1.4,65.3,0.003925182754680694,0.0006686778307179312,1059,2.819,140,1451,574,11,0,3863,1,54339,331,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1098,Sensor,934.73,315,195.04,0.008651717765484979,3.817,12.73,0.004170143733666126,0.0007806525516265247,8685,2.077,91,601,2969,3,8,16073,1,81724,200,DoS,1,NF-CSE-CIC-IDS2018-v2
Device_1099,Camera,250.88,133,21.33,0.0013205353533278952,4.494,15.9,0.004008845974962965,0.0004716686955616702,4638,1.586,271,670,3074,3,8,11647,5,52351,200,Normal,0,NF-BoT-IoT-v2
Device_1100,Actuator,120.45,28,164.37,0.008473305820515005,1.538,40.81,0.0011558157686680675,0.0009169064077871349,4158,5.166,329,459,275,8,8,46507,15,84055,220,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1101,Router,584.54,266,67.13,0.003310073966822289,0.884,75.66,0.0035018222456803,0.0007920413973510591,4942,8.738,210,806,990,8,0,40093,1,50552,150,Normal,0,NF-ToN-IoT-v2
Device_1102,Sensor,969.32,305,114.64,0.005973053443497633,1.912,84.13,0.002738847898144111,0.0003161356956793393,2277,5.94,688,1199,2736,8,8,49896,1,66094,150,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1103,Sensor,377.84,425,65.12,0.005435724981628569,3.46,6.39,0.004931581250946334,0.0009489954191352723,1899,8.739,573,1011,3993,8,0,64114,28,20991,530,Port_Scan,1,NF-ToN-IoT-v2
Device_1104,Gateway,62.04,31,126.55,0.006664233250987595,2.158,36.26,0.001871726422797414,0.0009614436514920908,7670,9.599,455,1148,408,8,0,56544,1,19183,331,DoS,1,NF-CSE-CIC-IDS2018-v2
Device_1105,Gateway,339.31,377,77.22,0.00743060004435283,2.971,45.3,0.0038791316289112985,0.0004209030201991768,8796,3.893,284,66,3146,11,0,556,5,73970,530,Normal,0,NF-ToN-IoT-v2
Device_1106,Router,505.93,486,73.39,0.004464722866423943,3.849,91.56,0.0019133827735808532,0.0006554408831077147,819,8.373,366,1659,399,0,0,20184,1,67761,200,Botnet,1,NF-CSE-CIC-IDS2018-v2
Device_1107,Sensor,161.92,459,17.21,0.00889427713927641,2.338,52.63,0.0020446016233548053,0.0008166208498617644,2087,0.618,484,1830,1427,11,0,15334,2,61929,226,Port_Scan,1,NF-BoT-IoT-v2
Device_1108,Router,658.1,49,37.92,0.008114034373459457,4.999,30.62,0.0006438617035849773,0.0008191277097027328,5873,4.863,3,1525,1961,0,8,4725,28,22817,331,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1109,Gateway,997.75,47,184.24,0.007875668817213813,1.841,42.05,0.0012743398105483376,2.398230924384981e-05,9166,3.746,784,557,1971,8,8,1851,15,20840,150,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1110,Gateway,451.74,57,199.67,0.004636643735149489,4.902,46.46,0.000905973004204451,0.0006327234967160761,2978,2.128,164,1370,1765,3,8,10611,5,36942,150,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1111,Sensor,354.73,192,158.3,0.0004719715698616406,1.414,68.65,0.0008800827491152428,0.0009739623044761001,8925,4.44,388,1539,3393,3,0,51508,1,37398,331,DDoS,1,NF-CSE-CIC-IDS2018-v2
Device_1112,Camera,400.7,84,64.49,0.00497333842315155,0.999,8.9,0.000144180985494095,0.00023903367631820946,2520,4.493,995,861,2165,0,8,62822,15,63549,331,DoS,1,NF-BoT-IoT-v2
Device_1113,Actuator,115.15,218,86.46,0.00899461078802741,3.879,42.0,0.003989525770416535,0.0007976527705851692,1424,8.105,9,1769,668,0,8,53016,1,22594,425,Data_Exfiltration,1,NF-ToN-IoT-v2
Device_1114,Gateway,883.27,192,150.51,0.001985456540514437,3.66,66.42,0.002392862967904436,0.0005389051448662127,1108,8.702,366,407,3910,11,8,53349,28,76551,331,Normal,0,NF-BoT-IoT-v2
Device_1115,Gateway,414.83,444,194.02,0.00982766547290482,4.15,31.92,0.004040421083007714,0.0002292555090275224,9431,6.604,12,865,4080,0,0,15819,15,80908,150,Brute_Force,1,NF-CSE-CIC-IDS2018-v2
Device_1116,Camera,387.27,116,96.54,0.008096137138130398,2.046,61.22,0.0031014970050741437,6.0527594343156056e-05,503,6.371,74,1845,359,11,8,39043,2,17616,530,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1117,Camera,659.69,197,167.61,0.007127314943592442,4.689,38.94,0.004173554546154496,0.0007623224939068376,6333,1.191,238,687,3692,8,8,51035,2,73814,425,Normal,0,NF-BoT-IoT-v2
Device_1118,Router,442.03,273,195.26,0.006803883583430976,1.038,77.08,0.0025684485158634614,0.00032330564602957876,8987,5.795,812,898,4085,3,0,32467,15,24326,226,Botnet,1,NF-CSE-CIC-IDS2018-v2
Device_1119,Router,648.23,95,175.96,0.0059115562311442505,0.636,10.76,0.000560801003580289,0.00038183016778445364,9199,2.817,108,1038,3352,3,8,53449,2,57709,150,DDoS,1,NF-ToN-IoT-v2
Device_1120,Actuator,61.45,333,53.16,0.007234636200166408,1.853,92.21,0.003122141851846309,0.000490378742716521,6872,3.018,962,519,2812,11,8,7454,5,43533,331,DoS,1,NF-BoT-IoT-v2
Device_1121,Actuator,813.72,340,11.53,0.004276865006571273,4.088,21.3,0.003421047825087426,0.0005121229539415952,6690,1.038,915,1551,451,0,0,15506,28,33381,200,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1122,Sensor,940.5,465,103.5,0.008468352269399284,3.528,20.06,0.0031698704246751696,0.00021412372120070697,220,6.395,525,2026,3242,11,0,65281,5,59616,530,Data_Exfiltration,1,NF-BoT-IoT-v2
Device_1123,Router,648.77,146,110.96,0.006993824965343281,2.463,84.86,0.004026547944610241,0.0006739355702865863,6560,5.88,234,1431,1889,0,0,20227,15,53280,226,Normal,0,NF-BoT-IoT-v2
Device_1124,Gateway,954.57,355,48.24,0.007735405812557537,1.653,87.58,0.0036843462956304444,0.0006956145801563149,6381,2.281,439,1546,1560,0,0,63310,5,36060,425,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1125,Router,151.43,395,64.09,0.007945625479443198,0.767,13.83,0.0022198990010744582,0.00015087791525425105,5962,2.704,757,1354,3143,0,8,6437,28,70796,425,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1126,Gateway,477.42,345,155.38,0.0010114934525181352,2.019,91.33,0.004113607911730693,0.0005375804445134555,2965,7.753,481,384,1631,11,0,28704,28,56855,220,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_1127,Camera,601.81,104,99.37,0.0006508436496086055,2.57,30.96,0.0034897540564991702,0.0006131667547450202,3831,7.95,833,385,2001,8,8,40977,15,68176,425,Normal,0,NF-ToN-IoT-v2
Device_1128,Router,581.74,335,70.3,0.008029760097998885,3.592,63.77,0.000689797018723554,0.00019438902796628944,3691,4.982,92,1939,3303,3,0,13159,5,11019,530,Normal,0,NF-BoT-IoT-v2
Device_1129,Camera,401.46,254,128.3,0.0026679018082786375,3.407,11.52,0.0027453772857041164,0.0008955175052640217,4586,1.575,872,1536,1418,11,0,49823,28,9128,530,Botnet,1,NF-CSE-CIC-IDS2018-v2
Device_1130,Actuator,338.08,478,134.02,0.005861501094366962,4.763,41.16,0.0036699234505266974,0.0004879976025635355,7272,0.65,198,1010,2039,8,0,14303,15,42921,150,Normal,0,NF-ToN-IoT-v2
Device_1131,Actuator,126.82,99,156.19,0.004492737466667964,0.952,47.82,0.002811112188419574,0.000123878074089357,2514,2.788,116,435,100,3,8,38860,28,67567,226,DDoS,1,NF-CSE-CIC-IDS2018-v2
Device_1132,Sensor,391.74,68,39.77,0.00031818811630957895,2.014,61.98,0.004750240389662828,0.00034105221584498284,9132,7.339,643,1449,3366,11,8,9330,1,34102,226,Brute_Force,1,NF-CSE-CIC-IDS2018-v2
